Datetime,Open,High,Low,Close,Volume
22.01.2024 00:00:00.000,1.08920,1.08948,1.08916,1.08947,334220003.1279
22.01.2024 00:05:00.000,1.08946,1.08962,1.08943,1.08961,308369998.9318
22.01.2024 00:10:00.000,1.08960,1.08960,1.08950,1.08953,230049995.42229998
22.01.2024 00:15:00.000,1.08955,1.08962,1.08953,1.08953,458040000.9154
22.01.2024 00:20:00.000,1.08953,1.08953,1.08929,1.08931,339009998.3216
22.01.2024 00:25:00.000,1.08929,1.08929,1.08912,1.08919,411169998.16889995
22.01.2024 00:30:00.000,1.08918,1.08940,1.08917,1.08939,439349994.6594
22.01.2024 00:35:00.000,1.08940,1.08953,1.08936,1.08952,561600006.1036
22.01.2024 00:40:00.000,1.08953,1.08975,1.08952,1.08970,740879997.2535
22.01.2024 00:45:00.000,1.08969,1.08983,1.08967,1.08978,521340007.782
22.01.2024 00:50:00.000,1.08978,1.08998,1.08976,1.08986,539100002.2888
22.01.2024 00:55:00.000,1.08987,1.09014,1.08987,1.09011,654279998.7793
22.01.2024 01:00:00.000,1.09012,1.09025,1.09002,1.09019,946539978.0274
22.01.2024 01:05:00.000,1.09017,1.09040,1.09012,1.09039,942860015.8692
22.01.2024 01:10:00.000,1.09039,1.09050,1.09032,1.09043,773820007.3243
22.01.2024 01:15:00.000,1.09043,1.09043,1.09016,1.09024,752849998.4741
22.01.2024 01:20:00.000,1.09024,1.09028,1.08992,1.09000,1173750007.6293998
22.01.2024 01:25:00.000,1.09000,1.09005,1.08987,1.09004,516619995.1171
22.01.2024 01:30:00.000,1.09002,1.09019,1.09001,1.09015,401699995.9946
22.01.2024 01:35:00.000,1.09017,1.09019,1.09006,1.09009,543629993.4388
22.01.2024 01:40:00.000,1.09010,1.09025,1.08998,1.09025,444819995.8802
22.01.2024 01:45:00.000,1.09025,1.09047,1.09022,1.09039,527639999.3897
22.01.2024 01:50:00.000,1.09039,1.09039,1.09020,1.09023,498660003.6621
22.01.2024 01:55:00.000,1.09021,1.09021,1.09010,1.09018,565380004.8828
22.01.2024 02:00:00.000,1.09018,1.09028,1.08996,1.08999,896970016.4794999
22.01.2024 02:05:00.000,1.09002,1.09020,1.09002,1.09016,387690002.4414
22.01.2024 02:10:00.000,1.09016,1.09035,1.09007,1.09029,158259999.2752
22.01.2024 02:15:00.000,1.09033,1.09074,1.09028,1.09070,436090002.0599
22.01.2024 02:20:00.000,1.09070,1.09091,1.09067,1.09090,774699989.3189
22.01.2024 02:25:00.000,1.09090,1.09091,1.09074,1.09078,318449993.1335
22.01.2024 02:30:00.000,1.09079,1.09079,1.09054,1.09059,488179992.67569995
22.01.2024 02:35:00.000,1.09059,1.09064,1.09053,1.09064,446129997.2534
22.01.2024 02:40:00.000,1.09065,1.09077,1.09064,1.09069,252559998.5123
22.01.2024 02:45:00.000,1.09070,1.09084,1.09070,1.09074,387480005.26420003
22.01.2024 02:50:00.000,1.09073,1.09083,1.09061,1.09079,407409992.218
22.01.2024 02:55:00.000,1.09078,1.09084,1.09069,1.09072,820600006.1035999
22.01.2024 03:00:00.000,1.09073,1.09077,1.09056,1.09059,545979995.7275001
22.01.2024 03:05:00.000,1.09058,1.09069,1.09055,1.09059,368270004.2724
22.01.2024 03:10:00.000,1.09059,1.09062,1.09044,1.09049,412449993.1336
22.01.2024 03:15:00.000,1.09048,1.09055,1.09044,1.09055,651040008.5449001
22.01.2024 03:20:00.000,1.09055,1.09055,1.09035,1.09043,628479995.7275
22.01.2024 03:25:00.000,1.09043,1.09049,1.09037,1.09040,340349997.0435
22.01.2024 03:30:00.000,1.09040,1.09059,1.09040,1.09050,430279991.1499
22.01.2024 03:35:00.000,1.09050,1.09060,1.09045,1.09052,377299999.2371
22.01.2024 03:40:00.000,1.09053,1.09054,1.09021,1.09029,554100002.2889
22.01.2024 03:45:00.000,1.09031,1.09034,1.09026,1.09029,323549999.2371
22.01.2024 03:50:00.000,1.09029,1.09033,1.09013,1.09016,509390007.01900005
