Datetime,Open,High,Low,Close,Volume
04.01.2024 00:00:00.000,1.09259,1.09264,1.09255,1.09259,413130008.69749993
04.01.2024 00:05:00.000,1.09259,1.09259,1.09234,1.09234,312060005.1879
04.01.2024 00:10:00.000,1.09234,1.09243,1.09212,1.09239,325630001.06820005
04.01.2024 00:15:00.000,1.09239,1.09261,1.09239,1.09259,204439999.10349998
04.01.2024 00:20:00.000,1.09260,1.09266,1.09250,1.09252,257110000.6104
04.01.2024 00:25:00.000,1.09252,1.09257,1.09250,1.09253,140159999.8474
04.01.2024 00:30:00.000,1.09253,1.09257,1.09249,1.09254,299129995.3461
04.01.2024 00:35:00.000,1.09253,1.09254,1.09213,1.09222,434690010.0707
04.01.2024 00:40:00.000,1.09223,1.09226,1.09208,1.09213,426589995.3843
04.01.2024 00:45:00.000,1.09216,1.09231,1.09209,1.09223,425690010.07080007
04.01.2024 00:50:00.000,1.09222,1.09222,1.09194,1.09195,472850002.2889
04.01.2024 00:55:00.000,1.09196,1.09228,1.09196,1.09225,330230001.4496
04.01.2024 01:00:00.000,1.09224,1.09231,1.09218,1.09223,502330001.8311
04.01.2024 01:05:00.000,1.09223,1.09241,1.09222,1.09223,675409999.8475001
04.01.2024 01:10:00.000,1.09225,1.09228,1.09200,1.09204,277539993.2862
04.01.2024 01:15:00.000,1.09203,1.09228,1.09202,1.09212,581329998.0164
04.01.2024 01:20:00.000,1.09211,1.09224,1.09202,1.09222,798979995.7275
04.01.2024 01:25:00.000,1.09223,1.09223,1.09189,1.09192,304679996.4905
04.01.2024 01:30:00.000,1.09191,1.09195,1.09174,1.09177,1076639999.3897
04.01.2024 01:35:00.000,1.09178,1.09182,1.09168,1.09174,976680007.9345
04.01.2024 01:40:00.000,1.09174,1.09184,1.09163,1.09169,333039999.0081
04.01.2024 01:45:00.000,1.09168,1.09187,1.09167,1.09174,563340007.7821
04.01.2024 01:50:00.000,1.09174,1.09188,1.09170,1.09179,546680007.9346
04.01.2024 01:55:00.000,1.09179,1.09198,1.09176,1.09178,290110004.4252
04.01.2024 02:00:00.000,1.09177,1.09190,1.09176,1.09182,386480001.44949996
04.01.2024 02:05:00.000,1.09183,1.09190,1.09179,1.09183,165379998.2071
04.01.2024 02:10:00.000,1.09183,1.09188,1.09179,1.09187,238450004.5777
04.01.2024 02:15:00.000,1.09187,1.09188,1.09169,1.09174,410999988.5558999
04.01.2024 02:20:00.000,1.09172,1.09172,1.09160,1.09169,212270000.4578
04.01.2024 02:25:00.000,1.09170,1.09188,1.09170,1.09183,388019996.6431
04.01.2024 02:30:00.000,1.09183,1.09199,1.09181,1.09192,301250000.9537
04.01.2024 02:35:00.000,1.09191,1.09194,1.09187,1.09191,285099998.4742
04.01.2024 02:40:00.000,1.09191,1.09195,1.09184,1.09188,177179998.3978
04.01.2024 02:45:00.000,1.09187,1.09189,1.09174,1.09184,431599995.613
04.01.2024 02:50:00.000,1.09183,1.09194,1.09179,1.09193,202109999.6566
04.01.2024 02:55:00.000,1.09194,1.09199,1.09188,1.09193,500249994.2778
04.01.2024 03:00:00.000,1.09193,1.09217,1.09193,1.09214,709079990.3867999
04.01.2024 03:05:00.000,1.09214,1.09221,1.09209,1.09220,323109991.07369995
04.01.2024 03:10:00.000,1.09220,1.09231,1.09219,1.09228,320429998.3977
04.01.2024 03:15:00.000,1.09229,1.09239,1.09222,1.09236,262559995.6513
04.01.2024 03:20:00.000,1.09235,1.09244,1.09233,1.09241,309190001.4878
04.01.2024 03:25:00.000,1.09241,1.09270,1.09240,1.09267,514080003.7385
04.01.2024 03:30:00.000,1.09266,1.09299,1.09266,1.09287,749239990.2343999
04.01.2024 03:35:00.000,1.09285,1.09306,1.09273,1.09273,728799980.1635001
04.01.2024 03:40:00.000,1.09272,1.09273,1.09260,1.09261,431239999.7711
04.01.2024 03:45:00.000,1.09259,1.09266,1.09258,1.09264,234939998.62669998
04.01.2024 03:50:00.000,1.09265,1.09268,1.09257,1.09259,134899996.7574
04.01.2024 03:55:00.000,1.09257,1.09265,1.09253,1.09261,305279996.8718
04.01.2024 04:00:00.000,1.09261,1.09273,1.09258,1.09270,345099996.5668
04.01.2024 04:05:00.000,1.09267,1.09273,1.09253,1.09254,284490000.7248
04.01.2024 04:10:00.000,1.09255,1.09266,1.09247,1.09263,321099998.951
04.01.2024 04:15:00.000,1.09262,1.09266,1.09251,1.09253,290440002.4414
04.01.2024 04:20:00.000,1.09252,1.09261,1.09247,1.09249,349949996.9483
04.01.2024 04:25:00.000,1.09250,1.09251,1.09247,1.09251,269489997.86380005
04.01.2024 04:30:00.000,1.09252,1.09257,1.09249,1.09256,475710002.8992
04.01.2024 04:35:00.000,1.09255,1.09270,1.09255,1.09269,293269996.643
04.01.2024 04:40:00.000,1.09270,1.09285,1.09270,1.09280,220840000.1526
04.01.2024 04:45:00.000,1.09278,1.09282,1.09251,1.09255,722820011.1389
04.01.2024 04:50:00.000,1.09256,1.09270,1.09254,1.09270,378039989.47129995
04.01.2024 04:55:00.000,1.09271,1.09273,1.09254,1.09258,672439983.3679
04.01.2024 05:00:00.000,1.09259,1.09259,1.09234,1.09241,1145050003.0517998
04.01.2024 05:05:00.000,1.09242,1.09253,1.09230,1.09230,942710006.714
04.01.2024 05:10:00.000,1.09229,1.09246,1.09228,1.09241,764780006.4087001
04.01.2024 05:15:00.000,1.09242,1.09256,1.09241,1.09254,331140003.2044
04.01.2024 05:20:00.000,1.09255,1.09257,1.09248,1.09249,353099997.5205
04.01.2024 05:25:00.000,1.09249,1.09256,1.09234,1.09234,511390007.0191
04.01.2024 05:30:00.000,1.09235,1.09245,1.09231,1.09231,526080005.6458
04.01.2024 05:35:00.000,1.09229,1.09245,1.09219,1.09230,937150016.7846001
04.01.2024 05:40:00.000,1.09230,1.09237,1.09221,1.09235,467540000.91550004
04.01.2024 05:45:00.000,1.09236,1.09240,1.09229,1.09239,364969989.7766
04.01.2024 05:50:00.000,1.09240,1.09266,1.09238,1.09265,495119998.93200004
04.01.2024 05:55:00.000,1.09264,1.09268,1.09257,1.09266,451260002.1362
04.01.2024 06:00:00.000,1.09265,1.09280,1.09265,1.09270,854959999.0845001
04.01.2024 06:05:00.000,1.09271,1.09279,1.09269,1.09275,448639999.38970006
04.01.2024 06:10:00.000,1.09275,1.09292,1.09272,1.09292,569349998.4741
04.01.2024 06:15:00.000,1.09292,1.09314,1.09292,1.09309,634399993.8965
04.01.2024 06:20:00.000,1.09309,1.09332,1.09308,1.09332,437700004.57769996
04.01.2024 06:25:00.000,1.09331,1.09346,1.09315,1.09316,502669994.35440004
04.01.2024 06:30:00.000,1.09315,1.09318,1.09223,1.09229,2552940002.4414005
04.01.2024 06:35:00.000,1.09227,1.09242,1.09208,1.09239,1345729995.7275999
04.01.2024 06:40:00.000,1.09240,1.09240,1.09210,1.09227,791409988.4033
04.01.2024 06:45:00.000,1.09227,1.09261,1.09227,1.09255,486069995.8801
04.01.2024 06:50:00.000,1.09254,1.09288,1.09251,1.09287,571009994.5069
04.01.2024 06:55:00.000,1.09287,1.09324,1.09287,1.09324,523639987.9456
04.01.2024 07:00:00.000,1.09323,1.09327,1.09296,1.09315,941470016.4794999
04.01.2024 07:05:00.000,1.09315,1.09348,1.09309,1.09346,943500000
04.01.2024 07:10:00.000,1.09346,1.09378,1.09322,1.09369,1228799987.793
04.01.2024 07:15:00.000,1.09368,1.09371,1.09342,1.09342,822460006.7139
04.01.2024 07:20:00.000,1.09341,1.09342,1.09295,1.09304,773109985.3515999
04.01.2024 07:25:00.000,1.09305,1.09353,1.09305,1.09330,1016030014.038
04.01.2024 07:30:00.000,1.09329,1.09371,1.09326,1.09366,1258970001.2207
04.01.2024 07:35:00.000,1.09365,1.09390,1.09360,1.09384,1437879989.6241
04.01.2024 07:40:00.000,1.09384,1.09436,1.09380,1.09428,1290730010.9864
04.01.2024 07:45:00.000,1.09426,1.09429,1.09384,1.09392,1222979980.4688
04.01.2024 07:50:00.000,1.09389,1.09407,1.09358,1.09359,687660011.2917
