Datetime,Open,High,Low,Close,Volume
19.01.2024 00:00:00.000,1.08800,1.08803,1.08777,1.08788,282479995.72760004
19.01.2024 00:05:00.000,1.08791,1.08803,1.08791,1.08797,229480001.4496
19.01.2024 00:10:00.000,1.08797,1.08798,1.08782,1.08792,440160003.6621
19.01.2024 00:15:00.000,1.08792,1.08806,1.08787,1.08803,228799996.376
19.01.2024 00:20:00.000,1.08805,1.08811,1.08796,1.08802,512600006.1036
19.01.2024 00:25:00.000,1.08803,1.08814,1.08798,1.08807,412249998.4503
19.01.2024 00:30:00.000,1.08809,1.08817,1.08785,1.08793,894500007.6293
19.01.2024 00:35:00.000,1.08793,1.08801,1.08787,1.08797,440590007.7821
19.01.2024 00:40:00.000,1.08798,1.08805,1.08793,1.08797,314009998.3215
19.01.2024 00:45:00.000,1.08797,1.08813,1.08790,1.08793,465149997.71119994
19.01.2024 00:50:00.000,1.08795,1.08810,1.08783,1.08807,745650001.5259001
19.01.2024 00:55:00.000,1.08811,1.08813,1.08796,1.08798,424689994.81200004
19.01.2024 01:00:00.000,1.08799,1.08806,1.08786,1.08792,568550010.6812999
19.01.2024 01:05:00.000,1.08791,1.08791,1.08762,1.08764,550800010.6811
19.01.2024 01:10:00.000,1.08765,1.08804,1.08764,1.08800,418689998.6267
19.01.2024 01:15:00.000,1.08801,1.08814,1.08788,1.08795,567099987.0299001
19.01.2024 01:20:00.000,1.08795,1.08800,1.08777,1.08800,657790008.5449001
19.01.2024 01:25:00.000,1.08799,1.08807,1.08771,1.08798,614459999.0844
19.01.2024 01:30:00.000,1.08799,1.08832,1.08798,1.08830,613670005.7983
19.01.2024 01:35:00.000,1.08828,1.08835,1.08821,1.08831,394729999.5422
19.01.2024 01:40:00.000,1.08830,1.08873,1.08829,1.08865,434900001.5259
19.01.2024 01:45:00.000,1.08866,1.08871,1.08837,1.08844,542840003.0136
19.01.2024 01:50:00.000,1.08843,1.08859,1.08839,1.08855,422590002.0599
19.01.2024 01:55:00.000,1.08856,1.08858,1.08843,1.08855,320500003.8148
19.01.2024 02:00:00.000,1.08854,1.08865,1.08848,1.08859,773749992.3706
19.01.2024 02:05:00.000,1.08859,1.08861,1.08843,1.08848,446659999.8475001
19.01.2024 02:10:00.000,1.08849,1.08856,1.08840,1.08852,572030014.0381
19.01.2024 02:15:00.000,1.08850,1.08850,1.08826,1.08830,495189998.62670004
19.01.2024 02:20:00.000,1.08832,1.08873,1.08829,1.08871,330650001.526
19.01.2024 02:25:00.000,1.08871,1.08887,1.08858,1.08884,820679985.0464001
19.01.2024 02:30:00.000,1.08884,1.08890,1.08868,1.08873,402009994.5067
19.01.2024 02:35:00.000,1.08871,1.08874,1.08866,1.08872,931729995.7275
19.01.2024 02:40:00.000,1.08873,1.08884,1.08865,1.08878,840749999.9999001
19.01.2024 02:45:00.000,1.08878,1.08896,1.08870,1.08895,807980010.9863999
19.01.2024 02:50:00.000,1.08896,1.08896,1.08886,1.08889,322750003.8147
19.01.2024 02:55:00.000,1.08889,1.08896,1.08880,1.08881,514669994.35429996
19.01.2024 03:00:00.000,1.08882,1.08886,1.08876,1.08878,675610000.6103001
19.01.2024 03:05:00.000,1.08879,1.08887,1.08875,1.08878,641959991.455
19.01.2024 03:10:00.000,1.08879,1.08888,1.08876,1.08880,528700004.5777
19.01.2024 03:15:00.000,1.08880,1.08893,1.08879,1.08890,477200012.207
19.01.2024 03:20:00.000,1.08890,1.08890,1.08875,1.08879,357209995.2697
19.01.2024 03:25:00.000,1.08878,1.08879,1.08872,1.08873,458569999.69490004
19.01.2024 03:30:00.000,1.08874,1.08874,1.08854,1.08861,753910011.2915
19.01.2024 03:35:00.000,1.08860,1.08871,1.08858,1.08870,340989997.86380005
19.01.2024 03:40:00.000,1.08870,1.08872,1.08858,1.08869,364239994.049
19.01.2024 03:45:00.000,1.08870,1.08876,1.08865,1.08873,439970008.85010004
19.01.2024 03:50:00.000,1.08874,1.08890,1.08871,1.08890,208019998.5505
19.01.2024 03:55:00.000,1.08888,1.08890,1.08882,1.08889,221070004.46320003
19.01.2024 04:00:00.000,1.08890,1.08894,1.08878,1.08880,267760009.76559997
19.01.2024 04:05:00.000,1.08881,1.08888,1.08881,1.08881,356699996.9483
19.01.2024 04:10:00.000,1.08881,1.08881,1.08872,1.08873,762400009.1553
19.01.2024 04:15:00.000,1.08875,1.08878,1.08870,1.08870,336349998.474
19.01.2024 04:20:00.000,1.08872,1.08872,1.08867,1.08869,351299999.237
19.01.2024 04:25:00.000,1.08869,1.08869,1.08853,1.08863,266270001.4114
19.01.2024 04:30:00.000,1.08864,1.08869,1.08862,1.08863,94199999.8092
19.01.2024 04:35:00.000,1.08864,1.08864,1.08863,1.08864,103500003.57640001
19.01.2024 04:40:00.000,1.08864,1.08881,1.08864,1.08879,266750003.8147
19.01.2024 04:45:00.000,1.08880,1.08881,1.08868,1.08874,221239998.81739998
19.01.2024 04:50:00.000,1.08873,1.08878,1.08867,1.08869,286200004.5777
19.01.2024 04:55:00.000,1.08868,1.08869,1.08864,1.08864,353959993.3624
19.01.2024 05:00:00.000,1.08865,1.08870,1.08862,1.08864,620099994.6593
19.01.2024 05:05:00.000,1.08863,1.08868,1.08852,1.08865,531210006.71389997
19.01.2024 05:10:00.000,1.08864,1.08870,1.08860,1.08868,496639991.7602
19.01.2024 05:15:00.000,1.08869,1.08870,1.08857,1.08857,319789997.10080004
19.01.2024 05:20:00.000,1.08856,1.08866,1.08847,1.08852,483469989.7766
19.01.2024 05:25:00.000,1.08852,1.08854,1.08837,1.08843,560620002.7466
19.01.2024 05:30:00.000,1.08843,1.08848,1.08828,1.08828,923369987.4878
19.01.2024 05:35:00.000,1.08828,1.08833,1.08819,1.08823,709570014.9536
19.01.2024 05:40:00.000,1.08824,1.08824,1.08795,1.08813,787180007.9346
19.01.2024 05:45:00.000,1.08813,1.08820,1.08811,1.08819,305599998.4741
19.01.2024 05:50:00.000,1.08818,1.08819,1.08804,1.08808,719110008.2398
19.01.2024 05:55:00.000,1.08808,1.08813,1.08800,1.08808,533990005.4932
19.01.2024 06:00:00.000,1.08809,1.08809,1.08785,1.08798,869519996.6431
19.01.2024 06:05:00.000,1.08798,1.08807,1.08789,1.08799,835860000.6104001
19.01.2024 06:10:00.000,1.08798,1.08798,1.08785,1.08796,926139999.3896
19.01.2024 06:15:00.000,1.08797,1.08816,1.08796,1.08804,731060012.8175
19.01.2024 06:20:00.000,1.08803,1.08803,1.08785,1.08785,598379997.2534001
19.01.2024 06:25:00.000,1.08784,1.08785,1.08765,1.08773,494190002.4414
19.01.2024 06:30:00.000,1.08773,1.08775,1.08754,1.08769,979160018.9209
19.01.2024 06:35:00.000,1.08768,1.08790,1.08768,1.08789,594569999.6948
19.01.2024 06:40:00.000,1.08789,1.08795,1.08775,1.08789,590939987.1825
19.01.2024 06:45:00.000,1.08789,1.08796,1.08784,1.08794,508729995.72749996
19.01.2024 06:50:00.000,1.08795,1.08814,1.08792,1.08803,619429988.8611
19.01.2024 06:55:00.000,1.08802,1.08822,1.08800,1.08809,652030006.4087
19.01.2024 07:00:00.000,1.08809,1.08828,1.08768,1.08823,1693069976.8065999
