Datetime,Open,High,Low,Close,Volume
25.01.2024 00:00:00.000,1.08811,1.08812,1.08792,1.08792,684539993.2860999
25.01.2024 00:05:00.000,1.08792,1.08792,1.08770,1.08771,928630004.8827
25.01.2024 00:10:00.000,1.08770,1.08771,1.08752,1.08752,329169998.1689
25.01.2024 00:15:00.000,1.08752,1.08757,1.08741,1.08742,684619998.9319
25.01.2024 00:20:00.000,1.08741,1.08746,1.08732,1.08737,606730010.9863001
25.01.2024 00:25:00.000,1.08735,1.08738,1.08725,1.08737,848329986.5722001
25.01.2024 00:30:00.000,1.08736,1.08757,1.08735,1.08756,452320003.5095
25.01.2024 00:35:00.000,1.08756,1.08767,1.08750,1.08750,580909996.0326
25.01.2024 00:40:00.000,1.08750,1.08756,1.08740,1.08752,526980010.9864
25.01.2024 00:45:00.000,1.08752,1.08766,1.08752,1.08761,480899993.89650005
25.01.2024 00:50:00.000,1.08762,1.08768,1.08752,1.08766,684069999.6948
25.01.2024 00:55:00.000,1.08765,1.08768,1.08722,1.08742,637099992.7521
25.01.2024 01:00:00.000,1.08742,1.08742,1.08702,1.08706,1105669998.1688998
25.01.2024 01:05:00.000,1.08706,1.08726,1.08702,1.08718,965480003.3569
25.01.2024 01:10:00.000,1.08717,1.08725,1.08710,1.08723,739400009.1553
25.01.2024 01:15:00.000,1.08721,1.08723,1.08712,1.08721,937479980.4687
25.01.2024 01:20:00.000,1.08720,1.08726,1.08709,1.08714,1058929969.7876999
25.01.2024 01:25:00.000,1.08713,1.08733,1.08712,1.08728,803699996.9483
25.01.2024 01:30:00.000,1.08726,1.08756,1.08722,1.08754,998199981.6895
25.01.2024 01:35:00.000,1.08753,1.08759,1.08741,1.08745,735569992.0654
25.01.2024 01:40:00.000,1.08746,1.08768,1.08746,1.08759,706410003.6622
25.01.2024 01:45:00.000,1.08760,1.08763,1.08749,1.08753,820179985.0462999
25.01.2024 01:50:00.000,1.08753,1.08767,1.08750,1.08764,731490013.1227
25.01.2024 01:55:00.000,1.08766,1.08786,1.08764,1.08775,659799995.4224
25.01.2024 02:00:00.000,1.08777,1.08781,1.08752,1.08768,604499992.3707
25.01.2024 02:05:00.000,1.08769,1.08794,1.08769,1.08783,749499999.9999
25.01.2024 02:10:00.000,1.08782,1.08794,1.08781,1.08785,389250000
25.01.2024 02:15:00.000,1.08783,1.08789,1.08768,1.08779,694759994.5067999
25.01.2024 02:20:00.000,1.08780,1.08783,1.08768,1.08782,334500011.4441
25.01.2024 02:25:00.000,1.08780,1.08793,1.08777,1.08792,352620002.7466
25.01.2024 02:30:00.000,1.08791,1.08798,1.08779,1.08793,666390007.0189999
25.01.2024 02:35:00.000,1.08794,1.08798,1.08769,1.08769,430320003.50949997
25.01.2024 02:40:00.000,1.08769,1.08774,1.08761,1.08762,599669998.1689999
