Datetime,Open,High,Low,Close,Volume
24.01.2024 00:00:00.000,1.08573,1.08577,1.08561,1.08575,414940006.25600004
24.01.2024 00:05:00.000,1.08575,1.08585,1.08575,1.08582,448259990.6921
24.01.2024 00:10:00.000,1.08583,1.08591,1.08581,1.08589,340459995.26970005
24.01.2024 00:15:00.000,1.08589,1.08593,1.08587,1.08589,245909999.3706
24.01.2024 00:20:00.000,1.08590,1.08599,1.08582,1.08582,241590007.78210002
24.01.2024 00:25:00.000,1.08579,1.08579,1.08556,1.08559,315719999.3133
24.01.2024 00:30:00.000,1.08560,1.08566,1.08552,1.08565,549490007.4005
24.01.2024 00:35:00.000,1.08564,1.08572,1.08554,1.08569,157640001.2971
24.01.2024 00:40:00.000,1.08570,1.08573,1.08566,1.08568,287850001.3352
24.01.2024 00:45:00.000,1.08568,1.08576,1.08565,1.08575,555060009.0026
24.01.2024 00:50:00.000,1.08574,1.08585,1.08573,1.08575,775700012.207
24.01.2024 00:55:00.000,1.08573,1.08580,1.08555,1.08559,623570007.3242
24.01.2024 01:00:00.000,1.08558,1.08560,1.08514,1.08515,1536200027.4658
24.01.2024 01:05:00.000,1.08517,1.08529,1.08514,1.08524,642270004.2725
24.01.2024 01:10:00.000,1.08525,1.08564,1.08524,1.08560,546689994.812
24.01.2024 01:15:00.000,1.08560,1.08578,1.08551,1.08557,1105430007.9346
24.01.2024 01:20:00.000,1.08558,1.08567,1.08540,1.08542,871870010.3759
24.01.2024 01:25:00.000,1.08541,1.08568,1.08540,1.08568,680110008.2397
24.01.2024 01:30:00.000,1.08569,1.08593,1.08568,1.08584,913680007.9346
24.01.2024 01:35:00.000,1.08585,1.08590,1.08563,1.08569,1162930015.5639
24.01.2024 01:40:00.000,1.08568,1.08590,1.08566,1.08580,927269996.6430999
24.01.2024 01:45:00.000,1.08579,1.08591,1.08560,1.08586,751569999.6948999
24.01.2024 01:50:00.000,1.08586,1.08591,1.08573,1.08574,994169998.1689999
